company,job_category,role,source_url,jd_text,language,collected_at
Moonshot AI,产品类,Kimi Work 产品工程师,https://app.mokahr.com/apply/moonshot/148506?sourceToken=36ae0fe79b871e0600f2b2cfe0a81ebb&sourceToken=7bec6769f2bfa471e5c9ce21b6b1096b&sourceToken=36ae0fe79b871e0600f2b2cfe0a81ebb&sourceToken=7bec6769f2bfa471e5c9ce21b6b1096b#/job/76349474-960c-4731-b908-4951e7a21804,具备 AI 产品工作经历，同时保持亲手构建的习惯：能够独立编写代码，完成可运行、可供真实用户使用的产品原型；是 Agent 产品的重度用户：日常使用 Claude Code、Codex 等 Agent 产品完成真实工作，对 Agent Loop、工具调用、Context Engineering 等有基于实践的第一手理解；是 Agent 产品的重度用户：日常使用 Claude Code、Codex 等 Agent 产品完成真实工作，对 Agent Loop、工具调用、Context Engineering 等有基于实践的第一手理解；对人机交互的演进有自己的判断：对“人如何与 Agent 协作”有独特且清晰的观点，并能够以原型而非文档的方式进行表达和验证；具备完整的产品工程素养：既能打磨交互细节，也能在模型延迟、失败率、推理成本等技术约束下做出合理取舍。,中文,2026-9-16
Moonshot AI,产品类,Agent产品工程师（multi-agent 方向）,https://app.mokahr.com/apply/moonshot/148506?sourceToken=36ae0fe79b871e0600f2b2cfe0a81ebb&sourceToken=7bec6769f2bfa471e5c9ce21b6b1096b&sourceToken=36ae0fe79b871e0600f2b2cfe0a81ebb&sourceToken=7bec6769f2bfa471e5c9ce21b6b1096b#/job/63838ab2-b4de-4602-962c-3b31e2bee006,"热爱 Coding 与具备较强的动手能力，可以快速自己手搓一套 Harness 来验证 Agent 协作与编排效率
对协作产品有极深的判断 ◦ 长期观察 Linear、Slack、飞书等协作产品，能说清它们的优点、局限，也对于 Paperclip、symphony 等新兴 Agent 协作产品与开源社区有深入研究
擅长与 Agent 一起工作 ◦ 你已经把 Agent 接入自己工作的各个环节，视作协作伙伴而非工具
是 Agent-native 的协作者 ◦ 深入使用或定义过 bot 在协作场景中的行为；理解 A2A、MCP、ACP 等协作基础设施；知道 bot 为什么常常吵、笨或不可信，也知道什么设计（guardrails、human-in-the-loop、delegation policy）能让它成为团队成员
加分项

曾设计过 multi-agent workflow 或 agent swarm 的协作产品原型，理解 task decomposition、role assignment、conflict resolution 等协作编排问题
对""一人公司""有自己的判断和实践——你正在用 Agent 完成过去需要团队做的工作，熟悉 Claude Code、Codex、OpenClaw 等 Agent 产品的实际能力边界
能在面试时直接展示你正在使用的 Agent 工作流系统",中文,2026-9-16
Moonshot AI,市场类,Business Builder & Ecosystem,https://app.mokahr.com/apply/moonshot/148506?sourceToken=36ae0fe79b871e0600f2b2cfe0a81ebb&sourceToken=7bec6769f2bfa471e5c9ce21b6b1096b&sourceToken=36ae0fe79b871e0600f2b2cfe0a81ebb&sourceToken=7bec6769f2bfa471e5c9ce21b6b1096b#/job/7e79b93b-25ec-4545-88b4-09754ec9bb79,"*你可以是谁
背景完全开放，以下只是示例。
Sales或BD出身。你深谙客户决策链条、商务谈判、关系经营——把成熟方法论带入新战场。
VC、PE或IR背景。你有投资眼光，擅长deal structuring和行业扫描——用资本思维做商业布局。
战略咨询背景。你能结构化思考、快速学习、与高管对话——把分析能力转化为执行结果。
产品或运营背景。你有用户洞察、数据驱动、实验迭代的能力——用产品思维设计商业化路径。
技术或研发背景。你有技术可信度、开发者同理心、前沿判断——让销售过程成为技术对话。
创业或创始团队背景。你有所有权意识、资源整合能力、从0到1经验——把公司当作自己的来经营。
其他背景。只要你有AI Native的直觉和商业落地的狠劲，背景只是标签。

*我们的期望
AI Native。你使用AI、思考AI、相信AI正在重构一切——不是""了解这个行业""，是""活在这个浪潮里""。
商业Sense。你能嗅到机会，能判断""这个客户现在该推进还是放养""，能设计""双方都能赢""的交易结构。
结果导向。你能把探索转化为数字，对收入目标负责，用数据证明路径有效。
优秀且投入。顶尖履历是信号，但更重要的是你愿意投身探索AI商业化路径——这比""做API销售""更宽广，也比""找个AI风口工作""更深刻。

如果你相信AI的商业化路径尚未被定义，而你想参与书写——我们应该聊聊。但聊聊之前，希望你已做过功课：了解AI产品边界和技术栈，有你心中的目标客户画像，甚至已经想过""如果是我，会从哪里打开第一个突破口""。我们期待一场有准备的对话，而不是泛泛而谈的""我对AI很感兴趣""。",中文,2026-9-16
Moonshot AI,运营类,"
AI Operations Builder",https://app.mokahr.com/apply/moonshot/148506?sourceToken=36ae0fe79b871e0600f2b2cfe0a81ebb&sourceToken=7bec6769f2bfa471e5c9ce21b6b1096b&sourceToken=36ae0fe79b871e0600f2b2cfe0a81ebb&sourceToken=7bec6769f2bfa471e5c9ce21b6b1096b#/job/86ff8c7f-6ce7-4580-b014-4267cafb20da,"【我们在找这样的人】
你看到新的 AI 模型、Agent Framework 或 Coding Agent，第一反应是：
“这个东西能不能直接用到我的工作里？”
你可能已经用 AI 做过一些东西：Agent、自动化 Workflow、数据分析脚本、用户反馈分析工具，或者一个自己 vibe coding 出来的 Demo。
东西大小不重要。
重要的是，你习惯：
先动手验证，再决定值不值得做大。
你既关心 AI 能做到什么，也会继续追问：
用户为什么需要它？
体验够不够好？
多少人会用？
它能不能提升留存、转化或运营效率？
我们希望你有 用户感、数据感，以及 AI Native 的工作方式。

【你会做什么】
1. 找到真正值得解决的问题
持续观察全球 AI 产品和用户行为，从社区、客服、访谈、行为数据和竞品中发现高价值需求和增长机会。
你需要把零散的信息变成明确判断，并进一步转化成产品机会、增长实验或运营方案。
你会长期关注 Reddit、Discord、X、YouTube、Product Hunt，以及各种 AI Native 社区和产品。
2. 把洞察快速做出来
这个角色会深入产品和用户体验，而不是停留在运营执行。
你可能会：
设计新的 AI 使用场景
搭建 Prompt / Workflow / Agent
用 AI Coding 快速做 Demo
设计用户路径和运营机制
和产品、模型、工程、设计一起定义并推动功能上线
你不一定需要写生产级代码，但需要有足够强的 Builder 能力：
有想法的时候，能够自己先做一个出来。
3. 用 AI 重构运营和增长
很多今天依赖人工完成的工作，都值得在 AI 时代重新设计。
比如：
用户反馈能不能自动分析？
高价值用户能不能自动识别？
社区新需求能不能持续捕捉？
运营内容能不能根据用户场景动态生成？
增长实验能不能更快完成验证？
你需要用 AI + Automation + Code，把依赖人工经验的流程变成可重复、可规模化的系统。
4. 用实验推动增长
你会关注整个用户生命周期：
Acquisition → Activation → Engagement → Retention → Conversion
通过数据分析、用户研究和 A/B Test 找到问题、提出假设、快速上线并持续迭代。
我们更相信：
Ship → Learn → Iterate。

【我们希望你具备】
1.AI Native
你是主流 AI 产品的深度用户，对 LLM、Agent、Coding Agent 有自己的理解。
不只会写 Prompt，也理解：
Context Engineering
Tool / API Calling
Agent Workflow
Evaluation / Harness
Feedback Loop
你知道不同模型擅长什么，也知道什么时候 AI 并不是最好的答案。
2.Builder Mindset
看到问题，你会先想：
“我能不能先做一个出来试试？”
你可以使用 Python / JavaScript / SQL 或 AI Coding 工具完成数据处理、API 调用、自动化脚本、分析或轻量工具开发。
代码不需要漂亮。
能够解决问题更重要。
3.用户与数据 Sense
你关心用户真实怎么使用产品，也习惯用数据验证判断。
你能够理解 Funnel、Retention、Cohort、用户分群和 A/B Test，并最终回答：
下一步最值得做什么？
4.Global Mindset
我们服务全球用户。
你需要理解不同国家和地区在语言、文化、渠道、产品习惯和付费方式上的差异。
英语可作为工作语言，能够独立完成英文调研、用户沟通和内容表达。

【经验要求】
通常来说，你可能有 3 年以上运营、增长或相关经验，并独立负责过项目。
我们不会严格按 Title 筛人。
如果你来自这些背景，我们都会感兴趣：
Product Operations / Growth / Strategy & Operations / Global Operations / AI Application / Community / Developer Operations
相比你的职位名称，我们更在意你真正做过什么。",中文,2026-9-16
Moonshot AI,运营类,GTM Engineer,https://app.mokahr.com/apply/moonshot/148506?sourceToken=36ae0fe79b871e0600f2b2cfe0a81ebb&sourceToken=7bec6769f2bfa471e5c9ce21b6b1096b&sourceToken=36ae0fe79b871e0600f2b2cfe0a81ebb&sourceToken=7bec6769f2bfa471e5c9ce21b6b1096b#/job/eb70f1ae-8604-4eb8-aee9-87ae64b7e9a1,"【职位概述】
GTM Engineer 是一个技术+商业的混合角色，位于销售、营销和技术的交叉点。你将负责设计、构建和优化驱动营收的自动化系统，通过 AI 和自动化工具消除数据孤岛，提升全漏斗转化效率。
【这个角色的核心】
用 AI 和代码重构 GTM 的每一个环节。
现在可能是手动复制粘贴的地方，你要把它变成智能工作流。现在是销售凭直觉跟进的地方，你要把它变成数据驱动的自动化。现在是数据孤岛互相沉默的地方，你要把它们打通。
具体做什么？你来定。
我们有一些想法，但我们更想听你的。你想深入产品，设计 AI 原生的 GTM 工具？可以。你想偏向增长，用实验和数据驱动规模化？也可以。这个角色的边界由你的能力和兴趣定义，不是由 JD 定义的。
【我们对你的期待】
AI 是本能，不是工具。你知道 prompt 工程不只是""写得好一点""，你理解不同模型的特性并能在业务中选择合适的。看到新模型发布，你会手痒。
动手先于讨论。 看到问题，先写脚本验证，而不是先开三小时会。Python/JS、SQL、API 集成——够用就行，不求完美。
系统思维。 你能看到整个 GTM 流程，知道哪里卡住了，哪里可以用自动化替代人工，哪里可以用 AI 提升效率。
商业嗅觉。 你关心的是""这个能转化成多少营收""，而不仅只是""这个技术很酷""。",中文,2026-9-16
深度求索,产品类,模型策略产品经理,https://www.zhipin.com/gongsi/job/110000/ffd531b0cbd4133f1XN92Nm0EFU~.html,定义并推进大模型在真实任务场景中的Agent 能力，深入办公与日常生活等场景下的复杂环境，使模型能自主规划、执行并交付完整结果，持续识别能力瓶颈，驱动模型迭代优化。围绕AI搜索及自主任务执行的全流程，设计并落地多维度自动化评测与归因体系，建立能真正区分“能用”与“好用”的评测标准，覆盖端到端任务完成度与过程行为质量，打通人工评估与自动化评估，精准定位模型短板。针对各类AI搜索与Agent任务，定义回答及执行结果的理想态，设计并迭代高质量、高多样性的数据生产管线，系统性提升搜索回答与Agent产物的准确性、完整性和用户体验。,中文,2026-9-17
深度求索,产品类,AI产品经理,https://app.mokahr.com/social-recruitment/high-flyer/140576#/job/e8f2004c-6599-42cd-b587-176ffc3ff1a3,"1.产品规划：紧密跟踪 AI 技术发展，制定并执行 DeepSeek 在 Chat 网页端、APP 端、开放平台的产品策略，敏锐洞察用户需求，合理规划优先级，不断推动产品创新和体验优化。
2.功能设计：综合运用数据分析、用户反馈和定性观察，从真实用户需求和使用场景出发，定位并拆解产品问题，降低用户使用门槛，提升使用深度、留存率、粘性和转化率。
3.项目管理：与模型、算法、研发和运营团队紧密合作，以快速节奏推进需求从调研、方案、评审、开发到上线，如期保证高质量交付。
【加分项】
1.对 AI 工具有深度使用经验，深度使用过 Agent / AI Coding / Workflow 类产品，有独特的见解和强烈的热情。
2.具备 UI/UX 设计素养，能够在 AI 辅助下完成产品原型图设计、UI 设计等相关的产品设计工作。
3.有工程背景，或能使用代码 / AI coding 工具提升自己的工作效率。",中文,2026-9-18
深度求索,产品类,AI Agent Harness 产品,https://app.mokahr.com/social-recruitment/high-flyer/140576#/job/e8f2004c-6599-42cd-b587-176ffc3ff1a3,"1.规划 DeepSeek Harness 产品路线图，连接研究员、工程师、开源社区和广大用户。
2.理解判断用户的最真实需求，定义与衡量“Agent 是否真的在更多场景下更深入的帮助到更多的人”的指标。
3.帮助 Harness 产品落地，持续跟踪真实场景下的用户任务。推动产品创新和体验优化。
4.维护 Harness 产品用户社群，从潜在海量用户群体中获取反馈、提取信号，指导产品迭代。
5.与模型训练团队的研究员深度沟通与合作，实现模型与 Harness 的共同进化。
6.协助项目管理相关工作。
【加分项】
1.AI行业从业经验、AI相关产品经验。
2.作为小团队中的产品经理主导产品路线的经验。
3.与研究员深度协作的经验。
4.深度参与开源社区或维护开源社区关系的经验。
5.其它超乎常人的与此工作相关的才能。",中文,2026-9-19
字节跳动,产品类,平台产品经理（AI开放方向）-抖音平台,https://www.zhipin.com/job_detail/3360f6ef29f629160nd63di6FVRU.html?ka=job_sug_7,"1、负责Al开发平台产品规划与设计，围绕AI CodingAgent、Agent编排等方向，构建高效、易用的Al开发工具链与功能模
块，推动平台生态建设;2、紧跟行业趋势和前沿技术，探索创新的产品形态，了解技术应用边界，设计开发者从接入、开发、调试到部署的全链路产品方案，降低用户的使用门槛，创造优秀的平台体验;
3、通过数据驱动产品迭代，搭建核心功能评估体系，分析用户数据、平台效能指标，主导功能优化与策略调整;4、独立完成跨团队协作，联动技术、运营、生态合作团队，推动产品从设计到上线的全流程落地。
职位要求
1、有平台型产品或用户产品经验，有AI应用、开放平台等实践背景者优先，熟悉基本A技术原理(如大模型、Skils、上下文管理、记忆等)者优先;
2、具备良好的需求洞察和逻辑分析能力，了解A应用开发过程中的工作流程痛点，能定位问题并驱动决策;3、具备较好的目标感和责任心，视角多元，对交付质量有严格的自我要求;
4、良好的沟通表达能力，善于学习和独立思考，可独立完成跨职能和跨部门沟通。",中文,2026-9-20
字节跳动,产品类,AI产品经理（AI coding方向）-Aime,https://www.zhipin.com/job_detail/a12a3ff0a666e3580nV72928F1NU.html?ka=company_more_job_a12a3ff0a666e3580nV72928F1NU,"职位描述
1、负责Agent产品Aime的需求调研、分析和规划，推动项目高效运转，严格把控产品体验;2、负责在研发场景的应用，制定相关的产品策略和规划;
3、负责跨多职能团队合作，推动关键用户体验的实现和交付。职位要求
1、本科及以上学历，有1年以上AI产品经验;对AI产品有热情和好奇心，相信AI产品将改变工作和生活;2、深度了解AIAgent技术原理，了解行业前沿动态，愿意花费时间阅读最新的论文和技术报告;3、对创新产品有独特见解，能主动发现内部研发场景机会并将其转化为产品需求;
4、具备研发工具的相关经验优先。",中文,2026-9-20
